Name,Category,Equipment
Holman Weighted Hook Punch,Abdominals,Other
Holman Weighted Traveling Punch,Abdominals,Other
Holman Weighted Uppercut Punch,Abdominals,Other
Holman Slow Weighted Double Pike,Abdominals,Other
Holman Plate Straight Plank Reach,Abdominals,Other
Holman Plate Elbow Plank Jack to Straight Plank Jack,Abdominals,Other
Holman Plate Hill Climber,Abdominals,Other
Holman Plate Reverse Plank Hill Climber,Abdominals,Other
Holman Plate Straight Plank Pike to Jack,Abdominals,Other
Holman Plate In-and-Out Push-Up,Abdominals,Other
Holman Plate Burpee,Abdominals,Other
Holman Plate Elbow Plank Reach,Abdominals,Other
Holman Elbow Plank to Renegade Row,Abdominals,Other
Holman Straight Plank Weighted Hand Hill Climber,Abdominals,Other
Holman Weighted Left Side Diagonal Pike,Abdominals,Other
Holman Weighted Right Side Diagonal Pike,Abdominals,Other
Holman Weighted W-Boat to Overhead Press,Abdominals,Other
Holman Weighted Kneeling Lift,Abdominals,Other
Holman Hips-Up Weighted Pull-Over,Abdominals,Other
Holman Weighted Cross Punch,Abdominals,Other
Holman Straight-Leg Boat Hover Chest Press,Abdominals,Other
Holman Weighted Pike,Abdominals,Other
Holman Feet-Elevated Wax-On Wax-Off,Abdominals,Other
Holman Elbow Plank to Towel Pike,Abdominals,Other
Holman Seated Killer Abs Overhead Press,Abdominals,Other
Holman Straight Plank Alternating Weighted Open,Abdominals,Other
Holman Weighted Killer Abs with Overhead Press,Abdominals,Other
Holman Weighted Split-Leg Pike,Abdominals,Other
Holman Towel Reverse Plank Heel Pull-in,Abdominals,Other
Stick Twist,Abdominals,Other
Roc Everest,Abdominals,Other
Standing cable low-to-high twist,Abdominals,Cable
Single-arm high-cable side bend,Abdominals,Cable
Kneeling cable oblique crunch,Abdominals,Cable
Kneeling cable crunch,Abdominals,Cable
Rope Crunch,Abdominals,Cable
Standing cable crunch,Abdominals,Cable
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable
Standing Cable Wood Chop,Abdominals,Cable
Cable reverse crunch,Abdominals,Cable
Cable Russian Twists,Abdominals,Cable
Pallof press with rotation,Abdominals,Cable
Cable Seated Crunch,Abdominals,Cable
Cable Judo Flip,Abdominals,Cable
Exercise Ball Cable Crunch - Gethin Variation,Abdominals,Cable
Standing cable high-to-low twist,Abdominals,Cable
Bent-Over Reverse Cable Fly,Abdominals,Cable
Standing Cable Crunch - Gethin Variation,Abdominals,Cable
AM Cable Crunch,Abdominals,Cable
Tyler Holt Weighted Knee-To-Chest Crunch,Abdominals,Cable
Standing cable twist,Abdominals,Cable
30 Cable Rope Crunch,Abdominals,Cable
30 Cable Rope Oblique Crunch,Abdominals,Cable
Cable lying twist on ball,Abdominals,Cable
30 Cable Pallof Press,Abdominals,Cable
30 Cable Reverse Crunch On Ball,Abdominals,Cable
30 Cable Reverse Crunch,Abdominals,Cable
Tyler Holt Cable Torso Twist,Abdominals,Cable
Single-Arm Cable Outward-Facing Biceps Curl,Abdominals,Cable
Biceps Rope Curl,Abdominals,Cable
Kneeling Cable Crunches,Abdominals,Cable
Ab Crunch Machine,Abdominals,Machine
Smith machine straight-legged hip raise,Abdominals,Machine
Machine crunch,Abdominals,Machine
AM Ab Machine,Abdominals,Machine
Smith machine V-up,Abdominals,Machine
Elbow plank,Abdominals,Body Only
Bottoms Up,Abdominals,Body Only
Spider crawl,Abdominals,Body Only
Cocoons,Abdominals,Body Only
Cross-Body Crunch,Abdominals,Body Only
Elbow-to-knee crunch,Abdominals,Body Only
Decline Crunch,Abdominals,Body Only
Hanging toes-to-bar,Abdominals,Body Only
Hanging Oblique Knee Raise,Abdominals,Body Only
Gorilla Chin/Crunch,Abdominals,Body Only
Hanging leg raise,Abdominals,Body Only
Mountain climber,Abdominals,Body Only
Ab bicycle,Abdominals,Body Only
3/4 sit-up,Abdominals,Body Only
Reverse crunch,Abdominals,Body Only
Crunches,Abdominals,Body Only
Dead bug reach,Abdominals,Body Only
Crunch - Hands Overhead,Abdominals,Body Only
V-up,Abdominals,Body Only
Stomach Vacuum,Abdominals,Body Only
Russian twist,Abdominals,Body Only
Flat Bench Lying Leg Raise,Abdominals,Body Only
Knees tucked crunch,Abdominals,Body Only
Butt-Ups,Abdominals,Body Only
Feet-elevated oblique crunch,Abdominals,Body Only
Bent-knee reverse crunch,Abdominals,Body Only
Alternating heel-touch,Abdominals,Body Only
Suspended Reverse Crunch,Abdominals,Body Only
Lying bench reverse crunch,Abdominals,Body Only
Sit-up,Abdominals,Body Only
Side Bridge,Abdominals,Body Only
Lying oblique crunch,Abdominals,Body Only
Janda Sit-Up,Abdominals,Body Only
Leg Pull-In,Abdominals,Body Only
Side Jackknife,Abdominals,Body Only
Scissor Kick,Abdominals,Body Only
Toe Touchers,Abdominals,Body Only
Lower Back Curl,Abdominals,Body Only
Exercise ball torso rotation,Abdominals,Body Only
Seated Overhead Stretch,Abdominals,Body Only
Overhead Stretch,Abdominals,Body Only
Seated Scissor Kick,Abdominals,Body Only
Partner resistance standing twist,Abdominals,Body Only
Cross Crunch,Abdominals,Body Only
Full Moon,Abdominals,Body Only
Hanging knee raise with manual resistance,Abdominals,Body Only
Straight-Legged Hip Raise,Abdominals,Body Only
Wall mountain climber,Abdominals,Body Only
Skin The Cat To Push-Up,Abdominals,Body Only
Partner lying leg raise with lateral throw down,Abdominals,Body Only
Hanging leg raise with throw down,Abdominals,Body Only
Partner sit-up with high-five,Abdominals,Body Only
Exercise ball knee roll-in,Abdominals,Body Only
Partner lying leg raise with throw down,Abdominals,Body Only
Crab toe-touch,Abdominals,Body Only
Side kick-through,Abdominals,Body Only
Partner target sit-up,Abdominals,Body Only
Suspended Crunch,Abdominals,Body Only
Jump Lunge,Abdominals,Body Only
Side plank hip dip,Abdominals,Body Only
Elbow plank jack,Abdominals,Body Only
Exercise ball V-up,Abdominals,Body Only
Standing torso twist stretch,Abdominals,Body Only
Slalom jumps,Abdominals,Body Only
Bear crawl,Abdominals,Body Only
Crab single-arm reach,Abdominals,Body Only
Side lunge cross-body heel-touch,Abdominals,Body Only
Alligator Crawl,Abdominals,Body Only
Lying cross-over lower back stretch,Abdominals,Body Only
Half bird dog,Abdominals,Body Only
Shoulder tap,Abdominals,Body Only
Double crunch,Abdominals,Body Only
Flutter kick,Abdominals,Body Only
Sprawl,Abdominals,Body Only
Spider plank jack,Abdominals,Body Only
Pillar-To-Plank,Abdominals,Body Only
Alternating High Knee Raise,Abdominals,Body Only
Sumo Squat Pulse,Abdominals,Body Only
Line-Drill Foot Work,Abdominals,Body Only
Plank Fire Hydrants,Abdominals,Body Only
Banded jumping jack,Abdominals,Body Only
Shin hug,Abdominals,Body Only
FYR Bear Crawl Fire Feet,Abdominals,Body Only
Bear crawl up-down,Abdominals,Body Only
FYR Crab Kick,Abdominals,Body Only
Bear crawl hold,Abdominals,Body Only
Traveling bear crawl,Abdominals,Body Only
Single-leg V-up,Abdominals,Body Only
FYR Bear Crawl Shoulder Tap,Abdominals,Body Only
Alternating single-leg sprawl,Abdominals,Body Only
Wide mountain climber,Abdominals,Body Only
Plank leg raise,Abdominals,Body Only
Glute bridge step-out,Abdominals,Body Only
Knee up-down,Abdominals,Body Only
FYR Sprawl,Abdominals,Body Only
Reach crunch,Abdominals,Body Only
FYR Push-Up Plank Hold,Abdominals,Body Only
FYR Hollow-Body Rock,Abdominals,Body Only
V-up plus knee-to-chest combo,Abdominals,Body Only
Side plank lateral raise,Abdominals,Body Only
Superhero burpee,Abdominals,Body Only
Hollow-body abduction,Abdominals,Body Only
FYR Hollow Hold,Abdominals,Body Only
Tip-toe crunch,Abdominals,Body Only
Knee-to-nose pulse,Abdominals,Body Only
Plank walk-out,Abdominals,Body Only
FYR V-Up,Abdominals,Body Only
Long sit-up,Abdominals,Body Only
FYR Breakdancer,Abdominals,Body Only
Seated leg lift,Abdominals,Body Only
Gorilla burpee,Abdominals,Body Only
Knee-in to V-out,Abdominals,Body Only
Bear crawl push-up,Abdominals,Body Only
FYR Front Step,Abdominals,Body Only
Plank reach,Abdominals,Body Only
Eiffel Tower leg raise,Abdominals,Body Only
Straight-arm plank,Abdominals,Body Only
Plank up-down,Abdominals,Body Only
Frog kick,Abdominals,Body Only
FYR Knees to Chest,Abdominals,Body Only
Front kick-through,Abdominals,Body Only
FYR Sit-Up,Abdominals,Body Only
FYR Leg Lift,Abdominals,Body Only
TBS Toes-to-bar,Abdominals,Body Only
FYR Mountain Climber,Abdominals,Body Only
Roman Chair Side Ups,Abdominals,Body Only
Push-Up Roll Out - Gethin Variation,Abdominals,Body Only
Cross-Body Crunch - Gethin Variation,Abdominals,Body Only
Decline leg lift with twist,Abdominals,Body Only
Hanging Leg Raise - Variation Gethin,Abdominals,Body Only
Butterfly crunch,Abdominals,Body Only
Cross-body mountain climber,Abdominals,Body Only
Flat Bench Lying Leg Raise - Gethin Variation,Abdominals,Body Only
Lying leg lift,Abdominals,Body Only
Hanging alternating single-leg raise,Abdominals,Body Only
Plank Walk,Abdominals,Body Only
Sit-Up - Gethin Variation,Abdominals,Body Only
Plank Push-Up,Abdominals,Body Only
Decline crunch-,Abdominals,Body Only
Alternating lying leg raise,Abdominals,Body Only
Decline leg lift,Abdominals,Body Only
Crunch - Gethin Variation,Abdominals,Body Only
Plank - Gethin Variation,Abdominals,Body Only
Barbell floor wiper,Abdominals,Body Only
Prison Push-Up,Abdominals,Body Only
McGill Modified Curl-Up,Abdominals,Body Only
Cross-body toe-touch,Abdominals,Body Only
Toy soldier,Abdominals,Body Only
Natural Glute Ham Raise with Stability Ball,Abdominals,Body Only
Lateral ape,Abdominals,Body Only
Hollow-body knee tuck,Abdominals,Body Only
HM Air Jumping Rope,Abdominals,Body Only
HM Alternating Lunge Reach,Abdominals,Body Only
HM Alternating Side Plank Reach,Abdominals,Body Only
HM Superman Plank,Abdominals,Body Only
HM Table Pose,Abdominals,Body Only
HM Toe Touch,Abdominals,Body Only
HM Right Side Bird-Dog,Abdominals,Body Only
HM Right Side Crunch,Abdominals,Body Only
HM Bicycle,Abdominals,Body Only
HM Bird-Dog Plank,Abdominals,Body Only
HM Boat Pose,Abdominals,Body Only
HM Bottoms Up,Abdominals,Body Only
HM Bridge,Abdominals,Body Only
HM Running Man Crunch,Abdominals,Body Only
HM Seated Twist,Abdominals,Body Only
HM Side-Bend Pose,Abdominals,Body Only
HM Side-Plank Arm Wrap,Abdominals,Body Only
HM Side-Plank with Hip Touch,Abdominals,Body Only
HM Side-Plank with Kick,Abdominals,Body Only
HM Side V-Up,Abdominals,Body Only
HM Crab Crunch,Abdominals,Body Only
HM Cross-Over Crunch,Abdominals,Body Only
HM Crunch Pulse,Abdominals,Body Only
HM Dead Bug,Abdominals,Body Only
HM Single-Leg Inchworm,Abdominals,Body Only
HM Floor Jack,Abdominals,Body Only
HM Floor Wiper,Abdominals,Body Only
HM Floor Kick,Abdominals,Body Only
HM Sit-Up,Abdominals,Body Only
HM Slow Mountain Climber,Abdominals,Body Only
HM Slow Sit-Up,Abdominals,Body Only
HM Half-Up,Abdominals,Body Only
HM Hollow-Body Pulse,Abdominals,Body Only
HM Hollow Hold,Abdominals,Body Only
HM Inchworm,Abdominals,Body Only
HM Right Side Hollow Hold with Pulse,Abdominals,Body Only
HM Reverse Crunch with Frisbee,Abdominals,Body Only
HM Left Side Bird-Dog,Abdominals,Body Only
HM Left Side Crunch,Abdominals,Body Only
HM Left Side Hollow Hold With Pulse,Abdominals,Body Only
HM Reverse Crunch,Abdominals,Body Only
HM Low Lunge With External Twist And Arm Reach,Abdominals,Body Only
HM Mountain Climber,Abdominals,Body Only
HM Prison Sit-Up,Abdominals,Body Only
HM Plank Alternating Hip-Dip,Abdominals,Body Only
HM Tuck-Up Get-Up,Abdominals,Body Only
HM Flutter Kick,Abdominals,Body Only
HM Plank,Abdominals,Body Only
McGill Pull-Up,Abdominals,Body Only
AM Leg Lift,Abdominals,Body Only
AM Decline Abs,Abdominals,Body Only
Hanging crunch,Abdominals,Body Only
Tyler Holt Hanging Toes-To-Bar,Abdominals,Body Only
Side plank,Abdominals,Body Only
Bird dog-,Abdominals,Body Only
Single-leg curl up,Abdominals,Body Only
Single-kettlebell windmill,Abdominals,Body Only
UNS Foam Roll Thigh,Abdominals,Body Only
UNS Inverted row,Abdominals,Body Only
UNS T-spine rotation with reach,Abdominals,Body Only
UNS Quadruped thoracic rotation,Abdominals,Body Only
UNS Pec stretch,Abdominals,Body Only
UNS Lat stretch,Abdominals,Body Only
UNS Foam Roll,Abdominals,Body Only
UNS Foam Roll Lats,Abdominals,Body Only
UNS Rocking Adductor Stretch,Abdominals,Body Only
UNS Bird Dog,Abdominals,Body Only
UNS Jumping Jack,Abdominals,Body Only
Ab wheel roll-out,Abdominals,Body Only
Bench mountain climber,Abdominals,Body Only
Feet-elevated bench side plank,Abdominals,Body Only
Cross-body sit-up,Abdominals,Body Only
Decline kayak,Abdominals,Body Only
30 Decline Reverse Crunch,Abdominals,Body Only
Decline sit-up twist,Abdominals,Body Only
30 Flat Bench Leg Raise,Abdominals,Body Only
30 Flutter Kick,Abdominals,Body Only
Chin-up crunch,Abdominals,Body Only
30 Gorilla Chin Oblique Crunch,Abdominals,Body Only
Half Turkish get-up,Abdominals,Body Only
30 Hanging Oblique Crunch,Abdominals,Body Only
30 Hollow-Body Hold,Abdominals,Body Only
Parallel bars knee raise,Abdominals,Body Only
30 Landmine Twist,Abdominals,Body Only
Parallel bars leg raise,Abdominals,Body Only
Otis-up-,Abdominals,Body Only
30 Shoulder Tap,Abdominals,Body Only
30 Spider Crawl,Abdominals,Body Only
Spider crunch,Abdominals,Body Only
Toe-touch,Abdominals,Body Only
30 Hanging Toes-To-Bar,Abdominals,Body Only
30 V-Up,Abdominals,Body Only
Cocoon crunch,Abdominals,Body Only
Bench oblique crunch,Abdominals,Body Only
Full moon-,Abdominals,Body Only
Push-up to side plank,Abdominals,Body Only
Tyler Holt V-Up,Abdominals,Body Only
Tyler Holt Plank,Abdominals,Body Only
Tyler Holt Hip-Dip,Abdominals,Body Only
Suicides,Abdominals,Body Only
Holman Towel Straight Plank Jack,Abdominals,Body Only
Holman Towel Hill Climber,Abdominals,Body Only
Holman Towel Elbow Plank Jack,Abdominals,Body Only
Holman Towel Elbow Plank Pike,Abdominals,Body Only
Holman Towel Straight Plank Hand Reach,Abdominals,Body Only
Holman Towel Wax-On Wax-Off,Abdominals,Body Only
Holman Towel Wide Hill Climber,Abdominals,Body Only
Holman Towel Dirty Dog,Abdominals,Body Only
Holman Straight Plank Shoulder Tap,Abdominals,Body Only
Holman Killer Abs,Abdominals,Body Only
Holman Straight Plank Split Jack,Abdominals,Body Only
Holman Elbow Plank Swim,Abdominals,Body Only
Holman Elbow Plank Saw,Abdominals,Body Only
Holman Feet-Elevated Straight Plank Toe-Tap Series,Abdominals,Body Only
Holman Elbow Plank Pike Pull,Abdominals,Body Only
Holman Hand-Elevated Walk-Over Push-Up,Abdominals,Body Only
Holman Hands-Elevated Hill Climber,Abdominals,Body Only
Holman Seated Pike,Abdominals,Body Only
Holman Feet-Elevated Up-Down Plank,Abdominals,Body Only
Holman Feet-Elevated Hand Tap,Abdominals,Body Only
Holman Reverse Straight Plank with Alternating Heel Pull-In,Abdominals,Body Only
Holman Elbow Plank,Abdominals,Body Only
Holman Straight Plank Squat Thrust,Abdominals,Body Only
Holman Alternating Single-Leg Pike,Abdominals,Body Only
Holman Knee Pull-In Crunch,Abdominals,Body Only
Holman Straight Plank with Hand Tap,Abdominals,Body Only
Holman Straight Plank with Dirty Dog,Abdominals,Body Only
Holman Elbow Plank Roll,Abdominals,Body Only
Holman Froggy Push-Up,Abdominals,Body Only
Holman Straight Plank Hand Tap to Shoulder Tap,Abdominals,Body Only
Holman In-Out Straight Plank,Abdominals,Body Only
Holman Bicycle,Abdominals,Body Only
Holman Alternating Diagonal Knee Pull-in,Abdominals,Body Only
Holman Elbow Plank with Step-Out,Abdominals,Body Only
Holman Alternating Slow L-Raise,Abdominals,Body Only
Holman Feet-Elevated Plank with Shoulder Tap,Abdominals,Body Only
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Abdominals,Body Only
Holman Feet-Elevated Up-Down Elbow Plank,Abdominals,Body Only
Holman Feet-Elevated Plank Pike Pull,Abdominals,Body Only
Holman Feet-Elevated Alternating Single-Leg Hip Raise,Abdominals,Body Only
Holman Feet-Elevated Plank Pike Pull to Push-Up,Abdominals,Body Only
Holman Standing Heel Click,Abdominals,Body Only
Holman Straight Plank Right-Left Jack to Split Jack,Abdominals,Body Only
Holman Elbow Plank Jack to Ninja Knees,Abdominals,Body Only
Holman Right Side Elbow Plank with Left Leg Swing,Abdominals,Body Only
Holman Left Side Elbow Plank with Right Leg Swing,Abdominals,Body Only
Holman Straight Plank with Alternating Diagonal Sit-Back,Abdominals,Body Only
Holman Boat Press with Leg Extension,Abdominals,Body Only
Holman Shoulder Tap to Dirty Dog,Abdominals,Body Only
Holman Standing Russian Twist,Abdominals,Body Only
Holman Hovering Plank with Shoulder Tap,Abdominals,Body Only
Holman Elbow Plank to Stacked Plank Hip Drop,Abdominals,Body Only
Holman Elbow Plank to Walk-Up Pike,Abdominals,Body Only
Holman Hill Climber,Abdominals,Body Only
Holman Straight Plank Pike to Renegade Row,Abdominals,Body Only
Holman Alternating Hip Drop to Push-Up,Abdominals,Body Only
Holman Crab Kick,Abdominals,Body Only
Holman Wounded Bear Crawl,Abdominals,Body Only
Holman Alternating Crab Reach,Abdominals,Body Only
Holman Hovering Panther Core Stabilizer,Abdominals,Body Only
Holman Burpee to Forward Lunge,Abdominals,Body Only
Holman Seated Knee Pull-In Series,Abdominals,Body Only
Holman Elbow Plank Pike,Abdominals,Body Only
Holman Elbow Plank Jack to Straight Plank Split Jack,Abdominals,Body Only
Holman Boat Pull-Over,Abdominals,Body Only
Holman Squat Pulse to Plyometric Jump,Abdominals,Body Only
Holman Hands Down Heel Click,Abdominals,Body Only
Holman Straight Plank to Kick-Up,Abdominals,Body Only
Holman Hands-Elevated Split Jack,Abdominals,Body Only
Holman Feet-Elevated Plank Reach,Abdominals,Body Only
Holman Hand-Elevated Side Plank Semicircle,Abdominals,Body Only
Holman Hands-Elevated Straight Plank Pike,Abdominals,Body Only
Holman Alternating Rolling Elbow Plank,Abdominals,Body Only
Holman Elbow Plank Jack,Abdominals,Body Only
Holman Squat Thrust to Alternating Knee-In,Abdominals,Body Only
Holman Supine Double Pike,Abdominals,Body Only
Holman Elbow Plank Alternating Pike,Abdominals,Body Only
Holman Seated Killer Abs,Abdominals,Body Only
Holman Side Plank Hip Drop,Abdominals,Body Only
Holman Wide Hill Climber,Abdominals,Body Only
Holman Straight-Legged Bicycle,Abdominals,Body Only
Holman Stair Toe Tap,Abdominals,Body Only
Holman Elbow Plank Ninja,Abdominals,Body Only
Holman Traveling Stair Climb Push-Up,Abdominals,Body Only
Holman Hands-Elevated Burpee,Abdominals,Body Only
Holman Straight Plank Donkey Kick,Abdominals,Body Only
Holman Feet-Elevated Straight Plank Pike Pull,Abdominals,Body Only
Holman Towel Burpee,Abdominals,Body Only
Holman Elbow Plank to Alternating Side Plank Crunch,Abdominals,Body Only
Holman Straight-Legged Hip Raise,Abdominals,Body Only
Holman Feet-Elevated Hill Climber,Abdominals,Body Only
Holman Ninja Knee Hill Climber,Abdominals,Body Only
Holman Feet-Elevated Shoulder Tap,Abdominals,Body Only
Holman Feet-Elevated Hip Raise,Abdominals,Body Only
Holman Left Hand Right Foot Crab Reach,Abdominals,Body Only
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Abdominals,Body Only
Holman Right Hand Left Foot Sleeping Crab,Abdominals,Body Only
Holman Left Hand Right Foot Sleeping Crab,Abdominals,Body Only
Holman Straight Plank with Alternating Leg Kick-Under,Abdominals,Body Only
Holman Right Hip Drop Push-Up,Abdominals,Body Only
Holman Right Side Diagonal Burpee,Abdominals,Body Only
Holman Left Hip Drop Push-Up,Abdominals,Body Only
Holman Right Leg 7-Up Crunch,Abdominals,Body Only
Holman Left Leg 7-Up Crunch,Abdominals,Body Only
Holman Straight Plank Jack,Abdominals,Body Only
Holman Feet-Elevated Couch Hill Climber,Abdominals,Body Only
Holman Feet-Elevated Right Side Plank,Abdominals,Body Only
Holman Alternating Up-Down Plank to Push-Up,Abdominals,Body Only
Holman Straight Plank Pike,Abdominals,Body Only
Holman Ninja Knee Straight Plank,Abdominals,Body Only
Holman Reverse Crunch to Hip Raise,Abdominals,Body Only
Holman Straight Plank Quick Reach,Abdominals,Body Only
Holman Alternating Diagonal Straight Plank,Abdominals,Body Only
Holman Feet-Elevated Left Side Plank,Abdominals,Body Only
Holman Right Hand Left Foot Crab Reach,Abdominals,Body Only
Holman Low-Impact Crab Kick,Abdominals,Body Only
Holman Alternating Crab Flip to Froggy Push-Up,Abdominals,Body Only
Holman High-Impact Crab Kick,Abdominals,Body Only
Holman Single-Leg Right Pike,Abdominals,Body Only
Holman Single-Leg Left Pike,Abdominals,Body Only
Holman Shoulder Tap to Hand Tap,Abdominals,Body Only
Holman Towel Reverse Plank Jack,Abdominals,Body Only
Holman Side-to-Side Twist,Abdominals,Body Only
Holman Crab Kick with Hop,Abdominals,Body Only
Holman Crab Reach to Crab Kick,Abdominals,Body Only
Holman Wide Squat Side-to-Side Obliques,Abdominals,Body Only
Holman Side Plank Crunch,Abdominals,Body Only
Total Fitness Ab Tuck,Abdominals,Body Only
